#
# ASTM E-490 Reference Spectra Derived from SMARTS v. 2.9.2 (AM1.5)
# Wavelength (nm),
# Irradiance W*m-2*nm-1
#
Wavelength,Irradiance
1378,3.580E-01
1380,3.579E-01
1382,3.545E-01
1384,3.547E-01
1386,3.532E-01
1388,3.530E-01
1390,3.506E-01
1392,3.513E-01
1394,3.488E-01
1396,3.487E-01
1398,3.492E-01
1400,3.427E-01
1402,3.439E-01
1404,3.428E-01
1406,3.431E-01
1408,3.427E-01
1410,3.418E-01
1412,3.348E-01
1414,3.377E-01
1416,3.385E-01
1418,3.386E-01
1420,3.357E-01
1422,3.315E-01
1424,3.311E-01
1426,3.281E-01
1428,3.285E-01
1430,3.257E-01
1432,3.300E-01
1434,3.284E-01
1436,3.285E-01
1438,3.283E-01
1440,3.188E-01
1442,3.186E-01
1444,3.197E-01
1446,3.216E-01
1448,3.216E-01
1450,3.187E-01
1452,3.154E-01
1454,3.143E-01
1456,3.131E-01
1458,3.167E-01
1460,3.156E-01
1462,3.121E-01
1464,3.105E-01
1466,3.108E-01
1468,3.114E-01
1470,3.102E-01
1472,3.073E-01
1474,3.034E-01
1476,3.048E-01
1478,3.044E-01
1480,3.068E-01
1482,3.044E-01
1484,3.039E-01
1486,3.033E-01
1488,2.855E-01
1490,3.015E-01
1492,3.018E-01
1494,3.033E-01
1496,2.972E-01
1498,2.994E-01
1500,3.011E-01
1502,2.924E-01
1504,2.799E-01
1506,2.848E-01
1508,2.919E-01
1510,2.947E-01
1512,2.913E-01
1514,2.883E-01
1516,2.882E-01
1518,2.884E-01
1520,2.866E-01
1522,2.824E-01
1524,2.835E-01
1526,2.846E-01
1528,2.846E-01
1530,2.765E-01
1532,2.823E-01
1534,2.784E-01
1536,2.806E-01
1538,2.773E-01
1540,2.730E-01
1542,2.753E-01
1544,2.778E-01
1546,2.772E-01
1548,2.711E-01
1550,2.713E-01
1552,2.731E-01
1554,2.676E-01
1556,2.671E-01
1558,2.689E-01
1560,2.683E-01
1562,2.697E-01
1564,2.669E-01
1566,2.654E-01
1568,2.633E-01
1570,2.645E-01
1572,2.673E-01
1574,2.610E-01
1576,2.536E-01
1578,2.547E-01
1580,2.650E-01
1582,2.590E-01
1584,2.591E-01
1586,2.599E-01
1588,2.490E-01
1590,2.405E-01
1592,2.526E-01
1594,2.583E-01
1596,2.506E-01
1598,2.545E-01
1600,2.512E-01
